GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection
0,13-55-36.669,3,31,31,0,1,1,0,3.798553,3.561188,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(2.5, 8.3, -35.0)","(33.2, 9.1, -35.1)","(-30.4, 7.3, -34.8)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.691,3,31,31,0,1,1,0,3.79454,3.560913,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-4.9, 8.0, -34.9)","(33.2, 9.1, -35.1)","(-30.4, 7.3, -34.8)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.713,3,31,31,0,1,1,0,3.793808,3.532822,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-7.9, 7.9, -34.9)","(33.2, 9.1, -35.1)","(-30.4, 7.3, -34.8)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.735,3,31,31,0,1,1,0,3.792969,3.524475,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-4.8, 8.0, -34.9)","(33.2, 9.1, -35.1)","(-30.4, 7.3, -34.8)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.757,3,31,31,0,1,1,0,3.784256,3.502777,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-2.4, 8.1, -34.9)","(33.2, 9.1, -35.1)","(-30.4, 7.3, -34.7)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.779,3,31,31,0,1,1,0,3.783173,3.49205,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-2.3, 8.1, -34.9)","(33.2, 9.1, -35.1)","(-30.4, 7.3, -34.7)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.802,3,31,31,0,1,1,0,3.827591,3.599442,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-0.6, 8.1, -34.9)","(33.1, 9.1, -35.2)","(-30.4, 7.2, -34.5)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.824,3,31,31,0,1,1,0,3.899994,3.537079,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-3.5, 8.1, -34.8)","(33.0, 9.2, -35.0)","(-30.5, 7.3, -34.6)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.846,3,31,31,0,1,1,0,3.883881,3.544098,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(4.9, 8.3, -34.7)","(33.0, 9.2, -34.9)","(-30.5, 7.3, -34.5)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.863,3,31,31,0,1,1,0,3.860443,3.486542,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(0.4, 8.2, -34.7)","(33.0, 9.2, -34.8)","(-30.5, 7.3, -34.5)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
